review,sentiment
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
I really enjoyed this film,positive
I hate this movie,negative
Best movie of the year,positive
Not good very boring,negative
Superb direction and music,positive
Awful experience never watch again,negative
This movie was fantastic I loved it,positive
Worst movie ever waste of time,negative
Amazing acting and great story,positive
Terrible plot and bad acting,negative
